houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
3359,Single Family Residential,3.0,2.0,1639.0,5187.0,1978.0,77072,29.7078264,-95.5747295,224900
3360,Single Family Residential,3.0,1.5,1167.0,4000.0,1945.0,77022,29.8184922,-95.3795393,150000
3361,Single Family Residential,3.0,2.0,2068.0,9569.0,1975.0,77489,29.6078521,-95.5051694,275000
3362,Single Family Residential,4.0,3.0,2790.0,8295.0,1995.0,77346,29.9922122,-95.1577272,389900
3363,Single Family Residential,3.0,3.5,2173.0,2281.0,2014.0,77007,29.7803175,-95.4212221,479900
3365,Single Family Residential,5.0,3.5,3086.0,7339.0,1997.0,77059,29.6021444,-95.1306861,435000
3366,Single Family Residential,3.0,2.5,1464.0,7371.0,1983.0,77095,29.9066531,-95.6428992,285000
3367,Single Family Residential,3.0,2.0,1604.0,,1969.0,77062,29.5556825,-95.1256843,239900
3369,Single Family Residential,4.0,2.5,1853.0,,2022.0,77365,30.094579,-95.185893,285000
3373,Single Family Residential,0.0,1.0,1966.0,5000.0,1936.0,77019,29.7577376,-95.3888223,925000
3375,Single Family Residential,4.0,2.5,3279.0,5500.0,2004.0,77086,29.928644,-95.5157021,299900
3377,Single Family Residential,3.0,2.0,1656.0,4140.0,1980.0,77072,29.7064858,-95.5692964,240000
3379,Single Family Residential,3.0,2.5,3619.0,2399.0,2005.0,77027,29.7389666,-95.4568542,855000
3381,Single Family Residential,5.0,6.0,7551.0,50094.0,1932.0,77019,29.7472559,-95.4439169,6990000
3383,Single Family Residential,4.0,3.0,2029.0,3780.0,2022.0,77034,29.620681,-95.206957,306490
3386,Single Family Residential,4.0,2.5,2058.0,5400.0,2007.0,77338,30.0316479,-95.3785988,229900
3388,Single Family Residential,4.0,5.0,4321.0,6250.0,2023.0,77008,29.7878619,-95.3888234,1799000
3389,Single Family Residential,3.0,2.5,1957.0,3342.0,1998.0,77069,29.9872339,-95.503141,219900
3391,Single Family Residential,3.0,1.5,1398.0,6480.0,1975.0,77088,29.8919466,-95.4393469,188000
3394,Single Family Residential,3.0,2.5,2444.0,6065.0,2010.0,77345,30.075024,-95.170854,315000
